Time,Weight
"04/03/2019, 20:16:23",100
"04/03/2019, 20:16:43",99.99
"04/03/2019, 20:17:03",99.98
"04/03/2019, 20:17:23",99.97
"04/03/2019, 20:17:43",99.96
"04/03/2019, 20:18:03",99.95
"04/03/2019, 20:18:23",99.94
"04/03/2019, 20:18:43",99.93
"04/03/2019, 20:19:03",99.92
"04/03/2019, 20:19:23",99.91
"04/03/2019, 20:19:43",99.9
"04/03/2019, 20:20:03",99.89
"04/03/2019, 20:20:23",99.88
"04/03/2019, 20:20:43",99.87
"04/03/2019, 20:21:03",99.86
"04/03/2019, 20:21:23",99.85
"04/03/2019, 20:21:43",99.84
"04/03/2019, 20:22:03",99.83
"04/03/2019, 20:22:23",99.82
"04/03/2019, 20:22:43",99.81
"04/03/2019, 20:23:03",99.8
"04/03/2019, 20:23:23",99.79
"04/03/2019, 20:23:43",99.78
"04/03/2019, 20:24:03",99.77
"04/03/2019, 20:24:23",99.76
"04/03/2019, 20:24:43",99.75
"04/03/2019, 20:25:03",99.74
"04/03/2019, 20:25:23",99.73
"04/03/2019, 20:25:43",99.72
"04/03/2019, 20:26:03",99.71
"04/03/2019, 20:26:23",99.7
"04/03/2019, 20:26:43",99.69
"04/03/2019, 20:27:03",99.68
"04/03/2019, 20:27:23",99.67
"04/03/2019, 20:27:43",99.66
"04/03/2019, 20:28:03",99.65
"04/03/2019, 20:28:23",99.64
"04/03/2019, 20:28:43",99.63
"04/03/2019, 20:29:03",99.62
"04/03/2019, 20:29:23",99.61
"04/03/2019, 20:29:43",99.6
"04/03/2019, 20:30:03",99.59
"04/03/2019, 20:30:23",99.58
"04/03/2019, 20:30:43",99.57
"04/03/2019, 20:31:03",99.56
"04/03/2019, 20:31:23",99.55
"04/03/2019, 20:31:43",99.54
"04/03/2019, 20:32:03",99.53
"04/03/2019, 20:32:23",99.52
"04/03/2019, 20:32:43",99.51
"04/03/2019, 20:33:03",99.5
"04/03/2019, 20:33:23",99.49
"04/03/2019, 20:33:43",99.48
"04/03/2019, 20:34:03",99.47
"04/03/2019, 20:34:23",99.46
"04/03/2019, 20:34:43",99.45
"04/03/2019, 20:35:03",99.44
"04/03/2019, 20:35:23",99.43
"04/03/2019, 20:35:43",99.42
"04/03/2019, 20:36:03",99.41
"04/03/2019, 20:36:23",99.4
"04/03/2019, 20:36:43",99.39
"04/03/2019, 20:37:03",99.38
"04/03/2019, 20:37:23",99.37
"04/03/2019, 20:37:43",99.36
"04/03/2019, 20:38:03",99.35
"04/03/2019, 20:38:23",99.34
"04/03/2019, 20:38:43",99.33
"04/03/2019, 20:39:03",99.32
"04/03/2019, 20:39:23",99.31
"04/03/2019, 20:39:43",99.3
"04/03/2019, 20:40:03",99.29
"04/03/2019, 20:40:23",99.28
"04/03/2019, 20:40:43",99.27
"04/03/2019, 20:41:03",99.26
"04/03/2019, 20:41:23",99.25
"04/03/2019, 20:41:43",99.24
"04/03/2019, 20:42:03",99.23
"04/03/2019, 20:42:23",99.22
"04/03/2019, 20:42:43",99.21
"04/03/2019, 20:43:03",99.2
"04/03/2019, 20:43:23",99.19
"04/03/2019, 20:43:43",99.18
"04/03/2019, 20:44:03",99.17
"04/03/2019, 20:44:23",99.16
"04/03/2019, 20:44:43",99.15
"04/03/2019, 20:45:03",99.14
"04/03/2019, 20:45:23",99.13
"04/03/2019, 20:45:43",99.12
"04/03/2019, 20:46:03",99.11
"04/03/2019, 20:46:23",99.1
"04/03/2019, 20:46:43",99.09
"04/03/2019, 20:47:03",99.08
"04/03/2019, 20:47:23",99.07
"04/03/2019, 20:47:43",99.06
"04/03/2019, 20:48:03",99.05
"04/03/2019, 20:48:23",99.04
"04/03/2019, 20:48:43",99.03
"04/03/2019, 20:49:03",99.02
"04/03/2019, 20:49:23",99.01
"04/03/2019, 20:49:43",99
"04/03/2019, 20:50:03",98.99
"04/03/2019, 20:50:23",98.98
"04/03/2019, 20:50:43",98.97
"04/03/2019, 20:51:03",98.96
"04/03/2019, 20:51:23",98.95
"04/03/2019, 20:51:43",98.94
"04/03/2019, 20:52:03",98.93
"04/03/2019, 20:52:23",98.92
"04/03/2019, 20:52:43",98.91
"04/03/2019, 20:53:03",98.9
"04/03/2019, 20:53:23",98.89
"04/03/2019, 20:53:43",98.88
"04/03/2019, 20:54:03",98.87
"04/03/2019, 20:54:23",98.86
"04/03/2019, 20:54:43",98.85
"04/03/2019, 20:55:03",98.84
"04/03/2019, 20:55:23",98.83
"04/03/2019, 20:55:43",98.82
"04/03/2019, 20:56:03",98.81
"04/03/2019, 20:56:23",98.8
"04/03/2019, 20:56:43",98.79
"04/03/2019, 20:57:03",98.78
"04/03/2019, 20:57:23",98.77
"04/03/2019, 20:57:43",98.76
"04/03/2019, 20:58:03",98.75
"04/03/2019, 20:58:23",98.74
"04/03/2019, 20:58:43",98.73
"04/03/2019, 20:59:03",98.72
"04/03/2019, 20:59:23",98.71
"04/03/2019, 20:59:43",98.7
"04/03/2019, 21:00:03",98.69
"04/03/2019, 21:00:23",98.68
"04/03/2019, 21:00:43",98.67
"04/03/2019, 21:01:03",98.66
"04/03/2019, 21:01:23",98.65
"04/03/2019, 21:01:43",98.64
"04/03/2019, 21:02:03",98.63
"04/03/2019, 21:02:23",98.62
"04/03/2019, 21:02:43",98.61
"04/03/2019, 21:03:03",98.6
"04/03/2019, 21:03:23",98.59
"04/03/2019, 21:03:43",98.58
"04/03/2019, 21:04:03",98.57
"04/03/2019, 21:04:23",98.56
"04/03/2019, 21:04:43",98.55
"04/03/2019, 21:05:03",98.54
"04/03/2019, 21:05:23",98.53
"04/03/2019, 21:05:43",98.52
"04/03/2019, 21:06:03",98.51
"04/03/2019, 21:06:23",98.5
"04/03/2019, 21:06:43",98.49
"04/03/2019, 21:07:03",98.48
"04/03/2019, 21:07:23",98.47
"04/03/2019, 21:07:43",98.46
"04/03/2019, 21:08:03",98.45
"04/03/2019, 21:08:23",98.44
"04/03/2019, 21:08:43",98.43
"04/03/2019, 21:09:03",98.42
"04/03/2019, 21:09:23",98.41
"04/03/2019, 21:09:43",98.4
"04/03/2019, 21:10:03",98.39
"04/03/2019, 21:10:23",98.38
"04/03/2019, 21:10:43",98.37
"04/03/2019, 21:11:03",98.36
"04/03/2019, 21:11:23",98.35
"04/03/2019, 21:11:43",98.34
"04/03/2019, 21:12:03",98.33
"04/03/2019, 21:12:23",98.32
"04/03/2019, 21:12:43",98.31
"04/03/2019, 21:13:03",98.3
"04/03/2019, 21:13:23",98.29
"04/03/2019, 21:13:43",98.28
"04/03/2019, 21:14:03",98.27
"04/03/2019, 21:14:23",98.26
"04/03/2019, 21:14:43",98.25
"04/03/2019, 21:15:03",98.24
"04/03/2019, 21:15:23",98.23
"04/03/2019, 21:15:43",98.22
"04/03/2019, 21:16:03",98.21
"04/03/2019, 21:16:23",98.2
"04/03/2019, 21:16:43",98.19
"04/03/2019, 21:17:03",98.18
"04/03/2019, 21:17:23",98.17
"04/03/2019, 21:17:43",98.16
"04/03/2019, 21:18:03",98.15
"04/03/2019, 21:18:23",98.14
"04/03/2019, 21:18:43",98.13
"04/03/2019, 21:19:03",98.12
"04/03/2019, 21:19:23",98.11
"04/03/2019, 21:19:43",98.1
"04/03/2019, 21:20:03",98.09
"04/03/2019, 21:20:23",98.08
"04/03/2019, 21:20:43",98.07
"04/03/2019, 21:21:03",98.06
"04/03/2019, 21:21:23",98.05
"04/03/2019, 21:21:43",98.04
"04/03/2019, 21:22:03",98.03
"04/03/2019, 21:22:23",98.02
"04/03/2019, 21:22:43",98.01
"04/03/2019, 21:23:03",98
"04/03/2019, 21:23:23",97.99
"04/03/2019, 21:23:43",97.98
"04/03/2019, 21:24:03",97.97
"04/03/2019, 21:24:23",97.96
"04/03/2019, 21:24:43",97.95
"04/03/2019, 21:25:03",97.94
"04/03/2019, 21:25:23",97.93
"04/03/2019, 21:25:43",97.92
"04/03/2019, 21:26:03",97.91
"04/03/2019, 21:26:23",97.9
"04/03/2019, 21:26:43",97.89
"04/03/2019, 21:27:03",97.88
"04/03/2019, 21:27:23",97.87
"04/03/2019, 21:27:43",97.86
"04/03/2019, 21:28:03",97.85
"04/03/2019, 21:28:23",97.84
"04/03/2019, 21:28:43",97.83
"04/03/2019, 21:29:03",97.82
"04/03/2019, 21:29:23",97.81
"04/03/2019, 21:29:43",97.8
"04/03/2019, 21:30:03",97.79
"04/03/2019, 21:30:23",97.78
"04/03/2019, 21:30:43",97.77
"04/03/2019, 21:31:03",97.76
"04/03/2019, 21:31:23",97.75
"04/03/2019, 21:31:43",97.74
"04/03/2019, 21:32:03",97.73
"04/03/2019, 21:32:23",97.72
"04/03/2019, 21:32:43",97.71
"04/03/2019, 21:33:03",97.7
"04/03/2019, 21:33:23",97.69
"04/03/2019, 21:33:43",97.68
"04/03/2019, 21:34:03",97.67
"04/03/2019, 21:34:23",97.66
"04/03/2019, 21:34:43",97.65
"04/03/2019, 21:35:03",97.64
"04/03/2019, 21:35:23",97.63
"04/03/2019, 21:35:43",97.62
"04/03/2019, 21:36:03",97.61
"04/03/2019, 21:36:23",97.6
"04/03/2019, 21:36:43",97.59
"04/03/2019, 21:37:03",97.58
"04/03/2019, 21:37:23",97.57
"04/03/2019, 21:37:43",97.56
"04/03/2019, 21:38:03",97.55
"04/03/2019, 21:38:23",97.54
"04/03/2019, 21:38:43",97.53
"04/03/2019, 21:39:03",97.52
"04/03/2019, 21:39:23",97.51
"04/03/2019, 21:39:43",97.5
"04/03/2019, 21:40:03",97.49
"04/03/2019, 21:40:23",97.48
"04/03/2019, 21:40:43",97.47
"04/03/2019, 21:41:03",97.46
"04/03/2019, 21:41:23",97.45
"04/03/2019, 21:41:43",97.44
"04/03/2019, 21:42:03",97.43
"04/03/2019, 21:42:23",97.42
"04/03/2019, 21:42:43",97.41
"04/03/2019, 21:43:03",97.4
"04/03/2019, 21:43:23",97.39
"04/03/2019, 21:43:43",97.38
"04/03/2019, 21:44:03",97.37
"04/03/2019, 21:44:23",97.36
"04/03/2019, 21:44:43",97.35
"04/03/2019, 21:45:03",97.34
"04/03/2019, 21:45:23",97.33
"04/03/2019, 21:45:43",97.32
"04/03/2019, 21:46:03",97.31
"04/03/2019, 21:46:23",97.3
"04/03/2019, 21:46:43",97.29
"04/03/2019, 21:47:03",97.28
"04/03/2019, 21:47:23",97.27
"04/03/2019, 21:47:43",97.26
"04/03/2019, 21:48:03",97.25
"04/03/2019, 21:48:23",97.24
"04/03/2019, 21:48:43",97.23
"04/03/2019, 21:49:03",97.22
"04/03/2019, 21:49:23",97.21
"04/03/2019, 21:49:43",97.2
"04/03/2019, 21:50:03",97.19
"04/03/2019, 21:50:23",97.18
"04/03/2019, 21:50:43",97.17
"04/03/2019, 21:51:03",97.16
"04/03/2019, 21:51:23",97.15
"04/03/2019, 21:51:43",97.14
"04/03/2019, 21:52:03",97.13
"04/03/2019, 21:52:23",97.12
"04/03/2019, 21:52:43",97.11
"04/03/2019, 21:53:03",97.1
"04/03/2019, 21:53:23",97.09
"04/03/2019, 21:53:43",97.08
